是否看过,日期,评星,赞成数,评论内容
看过,2013-08-18 02:03:59,很差,4," 集科幻魔幻动作枪战谍战警匪农村悬疑冒险恐怖恋母风光抗日神剧魔术杂技击剑广告于一身的年度奇葩片！简直是电影教科书，处处教育导演千万别这么拍，编剧千万别这么写，演员千万别这么演，投资方千万别这么烧钱。太值了！林志玲过足了COS瘾啊！看完此片后，小四在我心中的形象变得高大了（1厘米）。0星
        "
看过,2013-06-23 15:21:17,None,9," 孙建君本来想用个烂剧本骗上几十万，过过当导演的瘾。结果没想到有个大傻逼一下砸了天价投资，怎么花都花不完，于是砸出了《富春山居图》。只能说没被邀演的那些一线明星太幸运了！
        "
看过,2013-06-09 18:50:11,很差,12,
看过,2013-06-14 10:24:01,很差,7," 这片太适合刘德华了
        "
看过,2013-06-13 14:54:17,很差,3," 高贵冷艳的电影，我陷入深深的迷思，开始对生命产生怀疑，导演一定是未来穿越来给我们讲了一个我这种凡人无法体会的未来故事，可惜未来复杂而精彩，导演觉得需要全部分享，我向导演五体投地，只要给我个双色球号码，我就改五星！
        "
看过,2013-06-13 22:15:44,很差,3," 我承认，选择挑战这部奇葩神片是一种犯贱。所以，你可以选择不犯贱。很多烂片是讲不好故事，而这部《富村春宫图》是根本没有讲故事，全无逻辑，一锅乱炖。说不定多年之后，作为一部没有底线、一片混乱的拼凑之作会成为CULT片的经典之作被翻出来，一如艾德•伍德的《外星第九号计划》。
        "
看过,2013-06-10 20:28:54,很差,8," 如此奇葩神作的分数居然呈现逆增长，五星柱体极速加长。短评里各种人话都说不明白的水军疯狂刷分，所谓恬不知耻应该就是这样吧。话说这坨狗屎引发的水军影迷大对决要是改编成电影，肯定比它本身好看的多，尼玛那叫一个高潮迭起、悬念丛生啊。
        "
看过,2013-06-09 14:06:53,较差,5," 故事情节在紧凑的外衣下无处不透着松散，无处不在的志玲姐姐和刘德华的调情才是故事的主线，什么富春山居图啥的都是浮云。本片唯一亮点为小姑娘和刘德华的对白。佟大为演技不错，就是整个后宫太让人恶寒了。
        "
看过,2013-06-09 16:00:39,很差,5," 还没上映前你们就把3D效果吹上天，现在又说国内需要这样的大片，我非常同意，但我们需要的是有剧情有特效的大片，很明显，《天机》二者都没有。有人说，支持国产！我在想，竟然你心中的电影有国家之分，我为什么不能有星球之分呢？大家都是地球的，谁好我支持谁！谁不好我就给0分，等等，最低就是2分。
        "
看过,2017-09-26 19:05:52,很差,9," 丧尽天良的一部片！但是！今天你找到了对手！一个强大的对手！那就是！——纯洁心灵，逐梦演艺圈圈圈圈圈圈圈圈圈圈圈圈圈圈圈圈圈圈圈！！！
        "
看过,2013-06-12 23:50:40,很差,14," 2/10. 不明白为什么一部女子杂技团的演出纪录片（形式上很可能参照了《太阳马戏团》，故事在炫技段落中起到烘托背景和穿针引线的作用）非要插入几笔国产农村题材，瞬间穿越到《喜盈门》和《我的父亲母亲》，很魔幻！
        "
看过,2013-06-11 22:48:56,很差,3," 天涯极品贴剧场版
        "
看过,2013-06-09 05:01:19,较差,12," 千万不要相信国产3D了  基本没效果  两颗星给我看的首映......  毫不避讳的说个人平生第一次看首映，感觉不会在爱了....太难过，太伤心，我的money，我的时间，还有对不起被我拉来看电影的哥们
        "
看过,2013-06-09 15:14:40,很差,4,
看过,2013-06-17 13:16:14,很差,3," 好一枚有中二病的导演，刘德华经纪人不希望这片上映，是希望封印二十年让其变成cult片吧！私以为孙健君对小山本这一角色刻画得还不够大胆，至少应该散开一头白发，全裸配上一件豪华披风，在林志玲死掉的时候绝望伸出一只手，撕心裂肺高喊：“尤莉亚！！！”
        "
看过,2013-07-03 17:32:12,很差,6," 极品极致奇葩烂片，可以看懂这部电影的不是一般人可以做得到的，可以吐槽的地方太多了，卖人寿保险的居然是最强女BOSS；男主挨几十粒子弹而坚挺不死；林志玲上演各种丝袜，空姐，护士甚至尼姑等制服诱惑，看到最后面我才明白，我看的不是电影，而是林志玲制服秀。期望以后再看到天机清明上河图
        "
看过,2013-06-14 15:53:47,很差,9," 一星以上的都是托，太烂了。。。。忍不住点了“举报”
        "
看过,2013-06-30 22:29:23,还行,2," 这么重口味的电影怎么过审查的……
        "
看过,2013-06-10 01:23:40,很差,8," 一个字，退钱！！
        "
看过,2013-06-18 20:14:58,很差,5," 获得成就【 硬着头皮看完富春山居图】√
        "
看过,2013-06-18 19:21:33,很差,8," 导演，你为什么要放弃治疗！！！！！！！……看完我觉得我根本是在浪费绳命=L=
        "
看过,2017-03-22 16:56:34,较差,4," 就是一盘大杂烩完全不知所云。
        "
看过,2013-06-09 15:36:46,较差,4," 一颗星给张静初  一颗星给亚洲女神林志玲  剧情扯到极限  导演你妹的就会用美女的长腿与大胸忽悠观众吗！
        "
看过,2013-06-14 18:14:39,很差,6," 水军终究刷不过人民！！
        "
看过,2013-06-09 16:26:58,很差,9,
看过,2013-06-19 20:12:05,还行,2," 导演有拍大片的决心，可是没有一个好的逻辑思维，从而导致没有一个好剧本，最终的失败是没有把一个故事讲清楚明白。中国大片的精神值得鼓励，但是一部好电影，没有一个好故事，任你有再厉害的巨星，再牛逼的摄影也是白搭。请问，确定是三地吗？为什么只是感觉字幕在飘，摘了眼镜丝毫不影响观影啊？？？
        "
看过,2013-05-22 18:48:51,None,13,
看过,2017-07-06 09:16:44,较差,3," 这种基本不能算是有剧情的电影。
        "
看过,2016-08-25 14:58:35,很差,2," 神片
        "
看过,2017-04-01 11:09:37,很差,2," 烂就一个字
        "
看过,2013-06-12 20:29:38,很差,5," 又见垃圾导演毁一切作品。
        "
