是否看过,日期,评星,赞成数,评论内容
看过,2017-10-09 23:23:48,推荐,52," 果然好看。商业片好看第一原则：先找几张讨人喜欢的脸，《摔跤吧！爸爸》也如此。《天才枪手》气血很燃，80后导演飙出了类型片老司机的强悍节奏。最大问题是道德平衡比较棘手，没有处理得特别妥帖，导致戏剧失衡，高潮处有泄气、踩空之感。
        "
看过,2017-10-15 02:09:12,还行,46,
看过,2017-10-16 17:50:55,力荐,36," 【B+】本以为是个将特工电影类型与作弊糅合的纯爆米花片，看完以后发现其实导演的表达远比这个多。道德的腐坏，阶级的差异，最一针见血是女主在办公室对校长的质问：我不能违背规则，那你们为什么违背？因为说到底，每个人都生活在比自己权利更高的阶层管制下，所以你不得不服输。
        "
看过,2017-08-19 21:46:14,力荐,71," 完美  节奏完美选角完美  泰国人太会拍青春片了
        "
看过,2017-10-13 14:26:39,推荐,46," 泰国版《最强大脑》，主演：茱蒂蒙·杜鹃，依莎亚·陈意涵。虽然是讲作弊，但能在中国上映，结局当然要符合中国国情！
        "
看过,2017-10-17 14:23:04,还行,27," 女主和男主的转变都有点略突兀。男的看似“走投无路”了，但对于一个抄袭都要告老师无敌学霸来说，考试的机会肯定还会有的，“走正路”的大门也并未关闭，之前性格的铺垫也没有透露出不择手段的狠劲。女的最后也有点莫名其妙，凭她之前牛逼的心理素质，得手之后没理由变乖啊。
        "
看过,2017-10-14 13:27:17,推荐,57," 整体节奏感不错，只是有一点牵强的地方：要是女主一开始就想到用旋律来记答案的话，就不需要拉班克入伙了吧。这很难想到吗？毕竟之前都用了这么久了。
        "
看过,2017-11-18 10:10:21,None,25," 最后一幕简直像天朝过审专用结局
        "
看过,2017-10-17 22:43:31,推荐,23," 为“真实事件改编”多加一星，至于电影本身，不知道各大媒体公众号怎么就夸成了一朵花，我本以为至少能看到部《猫鼠游戏》？结果连《21点》都不如。得了，还是回去重温第一百遍的《十一罗汉》吧，至少人家能跟“天才”沾点边儿。
        "
看过,2017-10-15 12:11:19,推荐,37," 故事比想象的简单，但剪辑、节奏、镜头和情绪铺陈带来的气氛渲染极佳，观感效果紧张屏息。用惊悚悬疑片的模式拍摄考试，带来题材错位而产生差异化的新意。结尾有些和谐，让女主成坑主，班克秒变锅王，如果搞成猫鼠游戏那样的结尾就好了。男一像曾国祥，话说我当年作弊也挺惊心动魄，竟然看出了情怀，
        "
