是否看过,日期,评星,赞成数,评论内容
看过,2017-12-27 18:48:53,还行,35," 比我想象中的好看 没情商的男友问我怎么哭的这么伤心，想起了哪个前任…
        "
看过,2018-01-02 11:05:37,推荐,19," 爱的时候是真的爱了，分手的时候也是真的烦了。爱情不是阳春白雪，就在我们生活中的点点滴滴。
        "
看过,2018-01-04 19:52:41,很差,21," 别喷了别喷了，这电影能拍到第三部而且不血赔，我们是有责任的。
        "
看过,2018-01-03 03:21:17,还行,9," 矮子里拔将军。韩庚演技进步了，女一二颜值ok。这种片也不能讨论出什么意义什么三观，就爆米花电影，它变不成天上的烟花，地上乐一乐还行，别苛求太多。我怕苛求太多所有导演都会吓得只能去拍芳华那种故作严肃其实很烂的片来证明一些什么。想了想，还是给爆米花一点肯定，毕竟我更怕满天乱飞的假烟花
        "
看过,2018-01-05 00:27:52,还行,9," 我觉得影片比较适合一个人看。一眨眼，各奔东西，走是走了，我不相信那么快能忘记，他（她）的渣你都能眼瞎、他（她）的好你内心永远难忘记。感谢经历，活在当下吧！
        "
看过,2018-01-07 00:24:22,很差,11," 从服装到对白到价值观，都有一种小镇青年幻想大都市生活的土味（蹦迪、泡妞、酒后炮）。唯一比较写实的是500人微信群的段落，虽然那种现实也无聊透顶。当然，或许土的是我，当代中国大都市青年的恋爱生活就是这样也说不定。
        "
看过,2018-01-04 12:11:15,较差,18," 论俩冷战选手作死的分手
        "
看过,2018-01-03 18:27:15,推荐,16," 闺蜜：为什么林佳表现得认识罗梓的样子？我：因为她们是同一个整容医生（微笑）全程看冒牌杨子姗陈意涵包文婧脸出戏以后他们仨不缺替身了
        "
看过,2018-01-05 14:50:05,还行,5," 没看过2，蹭喜欢韩庚的同事票看了3。除去太长，有些金钱和恋爱观听让人翻白眼，主角一对作天作地之外，结局倒是加分的（可能因为在电影院看也是其中一点吧）。另外女三真是怎么选的，真实年龄不知道，腿是很细了，那脸叫韩做大叔，真是怎么想的。
        "
看过,2018-01-01 20:04:59,还行,18," 有前任的可能感触良多，没有前任的觉得孟云和林佳的感情太别扭了
        "
看过,2017-12-29 12:10:36,很差,40," 我瞎了。结尾？？？？？至尊宝打烂你们的狗头！！！！！！！！！！
        "
看过,2018-01-05 08:47:54,推荐,13,
看过,2018-01-03 15:52:36,还行,4," 这片子说实话  前面节奏太慢了  拖沓  夜店、派对、喝酒的戏份太多  感觉比较拖   大概是因为这片子的类型是【喜剧爱情片】吧   前面90分钟的戏份负责喜剧（我是觉得也不太好笑）  后面20分钟负责煽情。女配跟男主提分手的那段有点想哭，我也一直爱得太卑微。后面的男主广场喊话和女主自杀有点多余。
        "
